freq_khz,volume_l,L_wave_peak_amp_water,L_wave_time_ms_water,T_wave_peak_amp_water,T_wave_time_ms_water,L_wave_peakamp_air,L_wave_time_air_ms,T_wave_peakamp_air,T_wave_time_air_ms,L_Wave_RF,T_wave_RF,dtof_L_wave,dtof_T_wave
300,7,2.316228095,0.36871839,4.510778436,0.64425438,2.393241997,0.36894163,4.502852129,0.64430162,0.9678202613,1.001760286,0.00022324,-0.00004724
300,8,2.315466322,0.36871563,4.527469768,0.64426762,2.393241997,0.36894163,4.502852129,0.64430162,0.9675019597,1.005467121,0.000226,-0.000034
300,9,2.286994801,0.36873407,4.520927299,0.64428606,2.393241997,0.36894163,4.502852129,0.64430162,0.9556053268,1.00401416,0.00020756,-0.00001556
300,10,2.265664917,0.36873394,4.515896585,0.64430193,2.393241997,0.36894163,4.502852129,0.64430162,0.9466927791,1.002896932,0.00020769,0.00000031
300,11,2.253261832,0.36870237,4.516855063,0.64430236,2.393241997,0.36894163,4.502852129,0.64430162,0.9415102336,1.003109792,0.00023926,0.0000007399999999
300,12.5,2.258854126,0.3687811,4.513060291,0.64427708,2.393241997,0.36894163,4.502852129,0.64430162,0.9438469361,1.002267044,0.00016053,-0.00002454
300,13,2.249976853,0.36870707,4.523204764,0.64427505,2.393241997,0.36894163,4.502852129,0.64430162,0.9401376274,1.004519943,0.00023456,-0.00002657
300,14,2.244746667,0.36863544,4.498826038,0.64427542,2.393241997,0.36894163,4.502852129,0.64430162,0.9379522296,0.9991058798,0.00030619,-0.0000262
300,15,2.230114804,0.36868528,4.489774625,0.64425326,2.393241997,0.36894163,4.502852129,0.64430162,0.9318384043,0.9970957287,0.00025635,-0.00004836
300,16,2.233350892,0.36868549,4.479581994,0.64420548,2.393241997,0.36894163,4.502852129,0.64430162,0.933190582,0.9948321342,0.00025614,-0.00009614
300,18,2.186200478,0.3686606,4.46265019,0.64422858,2.393241997,0.36894163,4.502852129,0.64430162,0.9134890999,0.9910718945,0.00028103,-0.00007304
300,20,2.176730341,0.36858865,4.455599769,0.64420463,2.393241997,0.36894163,4.502852129,0.64430162,0.9095320672,0.9895061267,0.00035298,-0.00009699
300,22,2.161961877,0.36861293,4.443184543,0.64422892,2.393241997,0.36894163,4.502852129,0.64430162,0.9033611644,0.9867489351,0.0003287,-0.0000727
300,24,2.143414105,0.36863452,4.427130988,0.6442025,2.393241997,0.36894163,4.502852129,0.64430162,0.8956111033,0.983183738,0.00030711,-0.00009912
300,26,2.116602312,0.36854105,4.409341722,0.64420503,2.393241997,0.36894163,4.502852129,0.64430162,0.8844079765,0.9792330719,0.00040058,-0.00009659
300,28,2.083551049,0.36856512,4.408222095,0.6442051,2.393241997,0.36894163,4.502852129,0.64430162,0.8705977297,0.9789844235,0.00037651,-0.00009652
300,30,2.078324497,0.36858748,4.402489586,0.64420346,2.393241997,0.36894163,4.502852129,0.64430162,0.86841385,0.9777113394,0.00035415,-0.00009816
300,30.5,2.054953888,0.36855534,4.396091034,0.64424333,2.393241997,0.36894163,4.502852129,0.64430162,0.8586485989,0.9762903397,0.00038629,-0.00005829
300,31,2.055024232,0.36849285,4.389176506,0.64422883,2.393241997,0.36894163,4.502852129,0.64430162,0.8586779917,0.9747547511,0.00044878,-0.00007279
300,31.5,2.046916651,0.36851731,4.374585377,0.64422929,2.393241997,0.36894163,4.502852129,0.64430162,0.8552902937,0.9715143317,0.00042432,-0.00007233
400,0.5,2.447980763,0.36898996,4.999560291,0.64446195,2.472675464,0.36900596,4.98801322,0.64446195,0.9900129631,1.002314964,0.000016,0
400,1,2.444261882,0.36892648,5.006481229,0.64444648,2.472675464,0.36900596,4.98801322,0.64446195,0.9885089724,1.003702478,0.00007948,-0.00001547
400,1.5,2.451211855,0.36890937,5.009808287,0.64444536,2.472675464,0.36900596,4.98801322,0.64446195,0.9913196821,1.004369489,0.00009659,-0.00001659
400,2,2.451580889,0.3688937,4.998708407,0.6444297,2.472675464,0.36900596,4.98801322,0.64446195,0.9914689267,1.002144178,0.00011226,-0.00003225
400,2.5,2.446241449,0.36884635,4.986799679,0.64439835,2.472675464,0.36900596,4.98801322,0.64446195,0.9893095491,0.9997567086,0.00015961,-0.0000636
400,3,2.435620675,0.36884632,4.983239373,0.64438231,2.472675464,0.36900596,4.98801322,0.64446195,0.9850142935,0.9990429362,0.00015964,-0.00007964
400,4,2.433007947,0.36878264,4.969169557,0.64436663,2.472675464,0.36900596,4.98801322,0.64446195,0.9839576531,0.9962222109,0.00022332,-0.00009532
400,5,2.417061872,0.36881209,4.968857129,0.64438008,2.472675464,0.36900596,4.98801322,0.64446195,0.9775087377,0.996159575,0.00019387,-0.00008187
400,6,2.392369366,0.36873437,4.988390626,0.64439836,2.472675464,0.36900596,4.98801322,0.64446195,0.9675225888,1.000075663,0.00027159,-0.00006359
400,7,2.385274911,0.36881311,4.978098791,0.6444131,2.472675464,0.36900596,4.98801322,0.64446195,0.9646534474,0.9980123491,0.00019285,-0.00004885
